Participant,Number,RT,Correct
593890eac6aa16000101f037,1,4.989599999994084,1
593890eac6aa16000101f037,2,5.825700000017832,1
593890eac6aa16000101f037,3,8.485200000017812,0
593890eac6aa16000101f037,4,10.01679999998214,1
593890eac6aa16000101f037,5,18.9601,1
593890eac6aa16000101f037,6,10.162899999976162,0
593890eac6aa16000101f037,7,13.797300000012001,1
593890eac6aa16000101f037,8,4.5190000000000055,1
593890eac6aa16000101f037,9,8.979800000011892,0
593890eac6aa16000101f037,10,5.637000000000057,1
596e1af7a09655000197d4bb,1,6.578499999999963,1
596e1af7a09655000197d4bb,2,3.9236999999881164,1
596e1af7a09655000197d4bb,3,5.101800000011963,0
596e1af7a09655000197d4bb,4,8.571300000012002,1
596e1af7a09655000197d4bb,5,11.98419999998805,1
596e1af7a09655000197d4bb,6,13.113600000023894,1
596e1af7a09655000197d4bb,7,12.068499999999972,1
596e1af7a09655000197d4bb,8,3.7515999999642418,1
596e1af7a09655000197d4bb,9,7.914000000000101,0
596e1af7a09655000197d4bb,10,6.404300000011972,1
5af835d8e19f8c00019e6dc0,1,12.683799999982057,1
5af835d8e19f8c00019e6dc0,2,9.279199999988123,1
5af835d8e19f8c00019e6dc0,3,4.194,1
5af835d8e19f8c00019e6dc0,4,10.429000000000087,1
5af835d8e19f8c00019e6dc0,5,23.145999999999958,1
5af835d8e19f8c00019e6dc0,6,24.06469999998808,1
5af835d8e19f8c00019e6dc0,7,23.49080000001186,1
5af835d8e19f8c00019e6dc0,8,12.54770000001804,0
5af835d8e19f8c00019e6dc0,9,19.749800000011874,0
5af835d8e19f8c00019e6dc0,10,18.780200000017885,1
5b07b71c68eff50001d1c859,1,3.5650000000000546,1
5b07b71c68eff50001d1c859,2,3.7129999999999654,0
5b07b71c68eff50001d1c859,3,2.8010000000000446,1
5b07b71c68eff50001d1c859,4,5.0750000000000455,1
5b07b71c68eff50001d1c859,5,11.18999999999994,1
5b07b71c68eff50001d1c859,6,14.097000000000094,0
5b07b71c68eff50001d1c859,7,10.881999999999948,1
5b07b71c68eff50001d1c859,8,5.758000000000038,1
5b07b71c68eff50001d1c859,9,9.178999999999974,0
5b07b71c68eff50001d1c859,10,6.947000000000003,0
5bd7971b0aac450001f951aa,1,11.200700000047618,1
5bd7971b0aac450001f951aa,2,12.17970000004766,1
5bd7971b0aac450001f951aa,3,8.937999999999874,1
5bd7971b0aac450001f951aa,4,40.694099999904665,1
5bd7971b0aac450001f951aa,5,66.80740000009541,1
5bd7971b0aac450001f951aa,6,21.20120000004772,1
5bd7971b0aac450001f951aa,7,40.2836,0
5bd7971b0aac450001f951aa,8,30.725600000143004,0
5bd7971b0aac450001f951aa,9,40.56639999985691,1
5bd7971b0aac450001f951aa,10,8.999500000000126,1
5c6477fe4f0ea90001782441,1,6.833,1
5c6477fe4f0ea90001782441,2,17.78309999999408,0
5c6477fe4f0ea90001782441,3,3.955500000000029,0
5c6477fe4f0ea90001782441,4,7.389499999999998,1
5c6477fe4f0ea90001782441,5,20.378000000000043,1
5c6477fe4f0ea90001782441,6,8.968899999976202,1
5c6477fe4f0ea90001782441,7,17.626599999994028,1
