Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
593890eac6aa16000101f037,1,699,138,181,301,6,0.0481833333273771,0.0133130637657947,-2.332043483151516,0.537244565169181
593890eac6aa16000101f037,2,727,98,260,352,9,0.0447888888902219,0.0207405065309217,-1.676086529800189,0.4150777048388649
593890eac6aa16000101f037,3,947,248,220,356,17,0.0465176470612809,0.0161345218144613,-1.918290560398734,0.420964075960464
593890eac6aa16000101f037,4,799,171,282,422,16,0.0515875000003731,0.0164072290996534,-1.547033111546394,0.5216293387093549
593890eac6aa16000101f037,5,163,12,4,4,3,0.0350999999940312,0.0303985196955097,-1.7315236554016036,0.6785146940190281
593890eac6aa16000101f037,6,452,176,42,84,6,0.0423833333363232,0.0171409937531238,-0.966877798922655,0.6309152835499057
593890eac6aa16000101f037,7,449,91,90,134,7,0.0411571428528912,0.0212610643421607,-1.622627967654938,0.5866345785212004
593890eac6aa16000101f037,8,188,57,0,1,9,0.0466222222215615,0.028575941710313,0.3301050709371878,0.3817277262757138
593890eac6aa16000101f037,9,701,297,34,124,11,0.0456090909107143,0.0179760648928054,-2.20124440304727,0.4198774092306991
593890eac6aa16000101f037,10,145,39,5,11,4,0.0350499999969997,0.0252827345552731,-1.2522330324920308,0.5015418824543029
593890eac6aa16000101f037,11,738,280,30,168,9,0.0484000000006597,0.0182907080233951,-2.912035505077648,0.4499285240396534
593890eac6aa16000101f037,12,526,175,29,87,14,0.0433142857113066,0.0131994671859869,-0.5045510433113226,0.4490410236308733
593890eac6aa16000101f037,13,767,537,26,136,12,0.0426416666661665,0.0172713877064623,-1.6465999896324832,0.3908394189579614
593890eac6aa16000101f037,14,288,109,36,82,5,0.0411400000095228,0.0421179059391532,0.3619298125519763,0.7746403288864276
593890eac6aa16000101f037,15,284,76,34,52,5,0.0488199999940288,0.0108329128081487,-2.147820857512423,0.6424765654964048
593890eac6aa16000101f037,16,103,30,0,0,2,0.0357499999820653,0.022556706319845,,1.0
593890eac6aa16000101f037,17,94,20,0,0,5,0.0312599999987936,0.0285387981517245,-0.6077935208875184,0.5434974359278598
593890eac6aa16000101f037,18,213,83,18,36,6,0.0391666666686494,0.0236805968405515,-1.1890396454495338,0.6607224494380293
593890eac6aa16000101f037,19,261,18,85,123,6,0.0393333333313427,0.0155754507679478,-0.2558333779256262,0.5839972465026199
593890eac6aa16000101f037,20,775,353,36,92,13,0.0433615384619893,0.0171469403701789,-1.626561339943097,0.4525459959206639
593890eac6aa16000101f037,21,588,269,24,90,3,0.0363333333393115,0.01718177327649,0.499939485394108,0.7236805589334847
593890eac6aa16000101f037,22,472,206,12,91,8,0.0490500000022471,0.0309284427623742,-0.0052891352966356,0.5449943360917816
593890eac6aa16000101f037,23,64,23,2,2,2,0.0,0.0,,1.0
593890eac6aa16000101f037,24,510,156,92,118,4,0.0482750000074303,0.036596208820174,1.089758146514468,0.5296024012668655
593890eac6aa16000101f037,25,652,298,50,166,11,0.0386363636390672,0.018092720787815,-1.020724988275027,0.5393924035100353
593890eac6aa16000101f037,26,752,362,99,167,12,0.0435000000049701,0.0227950951644221,0.5876428034652641,0.7179742294975388
593890eac6aa16000101f037,27,173,27,25,51,7,0.0421428571445394,0.014002363742003,-0.608465781052539,0.4299576024433361
593890eac6aa16000101f037,28,664,225,90,184,4,0.0256000000014746,0.0223980653951377,0.3382006766185508,0.615318029558126
593890eac6aa16000101f037,29,569,190,103,153,7,0.0465999999999944,0.0277297072996949,-0.4760937492477371,0.4504111401669832
593890eac6aa16000101f037,30,542,311,48,158,10,0.0402699999982124,0.0178727632677524,-1.4088693002938446,0.5593746841971753
593890eac6aa16000101f037,31,388,134,64,94,5,0.0421800000071538,0.0236124331695101,-2.22061367615102,0.5235071735165852
593890eac6aa16000101f037,32,398,102,61,105,4,0.0272500000029549,0.0212942089163249,-0.4041916284629759,0.7261118568380205
593890eac6aa16000101f037,33,195,22,16,28,5,0.0364399999952219,0.0138039124929017,0.3540635268277977,0.4729666036312591
593890eac6aa16000101f037,34,623,194,32,74,12,0.0456500000059641,0.0166558480038759,-2.2265736748918057,0.3518393755452761
593890eac6aa16000101f037,35,316,134,27,55,5,0.0311399999916829,0.0284411321780021,-0.6039588165596751,0.7262425756142379
593890eac6aa16000101f037,36,386,154,34,92,4,0.0396499999910931,0.0185739064271722,-0.0463434319261302,0.5267931373193033
593890eac6aa16000101f037,37,686,308,104,205,8,0.3647249999932965,0.4996848599704407,1.359960499235469,0.5211896895285366
593890eac6aa16000101f037,38,1049,624,116,258,14,0.045864285713841,0.0155247002767462,-2.605870914344085,0.3868984158726972
593890eac6aa16000101f037,39,94,44,6,18,4,0.0342999999925727,0.0163454376903925,0.0340952098879784,0.6034203968632127
