Participant,Paragraph,PP_Gazes,PP_AOI_Gazes,PP_OffscreenPix,PP_OffscreenProp,PP_2_Gazes,PP_2_AOI_Gazes,PP_2_OffscreenPix,PP_2_OffscreenProp,PP_3_Gazes,PP_3_AOI_Gazes,PP_3_OffscreenPix,PP_3_OffscreenProp,PP_cluster_num_clusters,PP_cluster_avg_duration,PP_cluster_sd_duration,PP_cluster_skew_duration,PP_dispersion,PP_2_cluster_num_clusters,PP_2_cluster_avg_duration,PP_2_cluster_sd_duration,PP_2_cluster_skew_duration,PP_2_dispersion,PP_3_cluster_num_clusters,PP_3_cluster_avg_duration,PP_3_cluster_sd_duration,PP_3_cluster_skew_duration,PP_3_dispersion,wordCount_with_stopwords,syllableCount_with_stopwords,ease_of_reading,wordCount_without_stopwords,syllableCount_without_stopwords,sentiment,PP_CD,PP_NN,PP_JJ,PP_VBN,PP_VBP,PP_NNS,PP_VBD,PP_VBG,PP_DT,PP_IN,PP_JJS,PP_MD,PP_VB,PP_RB,PP_VBZ,PP_RBS,PP_JJR,PP_WRB,PP_RBR,PP_2_CD,PP_2_NN,PP_2_JJ,PP_2_VBN,PP_2_VBP,PP_2_NNS,PP_2_VBD,PP_2_VBG,PP_2_DT,PP_2_IN,PP_2_JJS,PP_2_MD,PP_2_VB,PP_2_RB,PP_2_VBZ,PP_2_RBS,PP_2_JJR,PP_2_WRB,PP_2_RBR,PP_3_CD,PP_3_NN,PP_3_JJ,PP_3_VBN,PP_3_VBP,PP_3_NNS,PP_3_VBD,PP_3_VBG,PP_3_DT,PP_3_IN,PP_3_JJS,PP_3_MD,PP_3_VB,PP_3_RB,PP_3_VBZ,PP_3_RBS,PP_3_JJR,PP_3_WRB,PP_3_RBR,TUT
593890eac6aa16000101f037,4,799,171,282,422,947,248,220,356,727.0,98.0,260.0,352.0,16,0.0515875000003731,0.0164072290996534,-1.547033111546394,0.5216293387093549,17,0.0465176470612809,0.0161345218144613,-1.918290560398734,0.420964075960464,9.0,0.0447888888902219,0.0207405065309217,-1.676086529800189,0.4150777048388649,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
596e1af7a09655000197d4bb,4,567,126,196,237,455,27,227,264,527.0,16.0,241.0,298.0,113,0.0506796460173809,0.0132295405321007,3.395912087693364,0.4777339221437421,71,0.0499352112681064,0.0125307176670304,-1.1030782912250736,0.5155348731773861,84.0,0.0490107142869893,0.0123480647494735,1.5491667230022312,0.3855904200913863,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5af835d8e19f8c00019e6dc0,4,1630,613,99,300,989,293,120,207,1537.0,347.0,222.0,472.0,391,0.0271005115084475,0.017384377004509,1.4746493044185112,0.3597944823671625,242,0.0272512396692239,0.0180857093383283,1.4147563456342889,0.3851706906616599,324.0,0.0320240740720711,0.0208272692932045,1.0127134650397656,0.2899829917907304,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5b07b71c68eff50001d1c859,4,293,0,274,276,157,1,138,143,369.0,63.0,151.0,178.0,20,0.0882500000000047,0.0433745923687652,3.80174521175434,0.5448309962692035,9,0.0810000000000036,0.019602295783911,1.5338326802491202,0.5324479640193842,26.0,0.0753076923076845,0.0244749165159238,-0.4981642878187008,0.3195142982496708,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5bd7971b0aac450001f951aa,4,528,85,222,333,361,73,122,204,611.0,189.0,120.0,203.0,42,0.0811000000204475,0.006040230989417,0.4948266784429019,0.3266259695979382,32,0.0799375000000081,0.023309485123719,-2.455876030366626,0.3707573279324638,59.0,0.0834966101581747,0.0147407944871961,4.058349578697935,0.3363728804964848,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5c6477fe4f0ea90001782441,4,843,523,40,73,690,374,6,15,674.0,465.0,15.0,29.0,28,0.0359607142889062,0.0110008194716697,1.4589477837414009,0.4374031920190507,30,0.0299233333283584,0.0066002969258118,-3.5540242620707154,0.3475039488581223,24.0,0.0353874999995024,0.0150758462842287,0.5680653311459821,0.3138752110825816,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5cb568ebf0e31e0017d9bf32,4,999,625,149,187,508,280,79,91,802.0,386.0,128.0,148.0,51,0.0470137254906664,0.0112219253158476,3.168497956948792,0.3554266078157454,29,0.043055172416271,0.0111784098721832,-1.222326813386493,0.4811738022853075,27.0,0.0488629629598731,0.0178373667478321,0.4873529955837799,0.3622158074444117,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5d4459c166881d001c4d5451,4,1667,691,388,765,916,165,190,418,1265.0,443.0,118.0,446.0,318,0.027003144654893,0.0207774095397647,1.85751175770728,0.3799697026979403,201,0.022732338307746,0.016468324111053,1.6173143068891909,0.3860034653152772,260.0,0.0282080769238332,0.0215760782938582,1.3245526398100411,0.3859995186753319,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5d5497857aff650001a18c3c,4,1261,541,270,396,734,286,184,236,953.0,405.0,135.0,213.0,3,0.0452333333333848,0.039991790824379,-1.421625827745099,0.7454386080787819,6,0.0561333333334183,0.0220640582548221,-0.6585245748208944,0.6420795274783323,6.0,0.0379666666666753,0.0277719762830158,0.1375162943915308,0.6214604462636848,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5d79375d794d900017671c07,4,1961,725,576,727,615,236,46,148,1628.0,799.0,92.0,314.0,288,0.031323263888309,0.0112466788184857,3.1174305547590406,0.2631808106734559,106,0.0310160377348918,0.0127221676560848,2.687079853193149,0.4088097614561068,249.0,0.0314136546168924,0.009956225474099,2.361749651090772,0.3133387848358401,81,131,50.87,50,100,1,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1.0,10.0,3.0,1.0,2.0,10.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
