Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp
593890eac6aa16000101f037,1,699,138,181,301
593890eac6aa16000101f037,2,727,98,260,352
593890eac6aa16000101f037,3,947,248,220,356
593890eac6aa16000101f037,4,799,171,282,422
593890eac6aa16000101f037,5,163,12,4,4
593890eac6aa16000101f037,6,452,176,42,84
593890eac6aa16000101f037,7,449,91,90,134
593890eac6aa16000101f037,8,188,57,0,1
593890eac6aa16000101f037,9,701,297,34,124
593890eac6aa16000101f037,10,145,39,5,11
593890eac6aa16000101f037,11,738,280,30,168
593890eac6aa16000101f037,12,526,175,29,87
593890eac6aa16000101f037,13,767,537,26,136
593890eac6aa16000101f037,14,288,109,36,82
593890eac6aa16000101f037,15,284,76,34,52
593890eac6aa16000101f037,16,103,30,0,0
593890eac6aa16000101f037,17,94,20,0,0
593890eac6aa16000101f037,18,213,83,18,36
593890eac6aa16000101f037,19,261,18,85,123
593890eac6aa16000101f037,20,775,353,36,92
593890eac6aa16000101f037,21,588,269,24,90
593890eac6aa16000101f037,22,472,206,12,91
593890eac6aa16000101f037,23,64,23,2,2
593890eac6aa16000101f037,24,510,156,92,118
593890eac6aa16000101f037,25,652,298,50,166
593890eac6aa16000101f037,26,752,362,99,167
593890eac6aa16000101f037,27,173,27,25,51
593890eac6aa16000101f037,28,664,225,90,184
593890eac6aa16000101f037,29,569,190,103,153
593890eac6aa16000101f037,30,542,311,48,158
593890eac6aa16000101f037,31,388,134,64,94
593890eac6aa16000101f037,32,398,102,61,105
593890eac6aa16000101f037,33,195,22,16,28
593890eac6aa16000101f037,34,623,194,32,74
593890eac6aa16000101f037,35,316,134,27,55
593890eac6aa16000101f037,36,386,154,34,92
593890eac6aa16000101f037,37,686,308,104,205
593890eac6aa16000101f037,38,1049,624,116,258
593890eac6aa16000101f037,39,94,44,6,18
593890eac6aa16000101f037,40,514,237,52,130
596e1af7a09655000197d4bb,1,416,45,156,212
596e1af7a09655000197d4bb,2,527,16,241,298
596e1af7a09655000197d4bb,3,455,27,227,264
596e1af7a09655000197d4bb,4,567,126,196,237
596e1af7a09655000197d4bb,5,157,0,57,67
596e1af7a09655000197d4bb,6,228,18,62,93
596e1af7a09655000197d4bb,7,260,25,57,102
596e1af7a09655000197d4bb,8,49,6,12,19
596e1af7a09655000197d4bb,9,273,66,73,120
596e1af7a09655000197d4bb,10,114,0,64,68
596e1af7a09655000197d4bb,11,234,22,47,81
