ParaText,Paragraph,Probe,wordCount_with_stopwords,syllableCount_with_stopwords,ease_of_reading,wordCount_without_stopwords,syllableCount_without_stopwords,CD,NN,JJ,VBN,VBP,NNS,VBD,VBG,DT,IN,JJS,MD,VB,RB,VBZ,RBS,JJR,WRB,RBR,sentiment
one day early 1900s prominent american businessman named claude c hopkins approached old friend amazing new creation minty frothy toothpaste named pepsodent promised going huge,1,N,39,54,68.6,25,40,2,7,8,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1
hopkins time one nations famous advertising executives ad man convinced americans buy schlitz beer boasting company cleaned bottles live steamwhile neglecting mention every company used method seduced millions women purchasing palmolive soap proclaiming cleopatra washed despite sputtering protests outraged historians,2,N,73,114,46.81,40,79,1,10,3,1,2,10,5,6,1,1,0,0,0,0,0,0,0,0,0,-1
hopkins greatest contribution would helping create national toothbrushing habit pepsodent almost americans brushed teeth decade hopkins advertising campaigns pollsters found toothbrushing become daily ritual half population everyone shirley temple clark gable eventually bragged pepsodent smile,3,N,55,96,49.01,35,74,0,11,6,1,0,6,2,4,0,0,1,1,1,2,0,0,0,0,0,1
discovered story claude hopkins years ago reporting book power habit explores science habit formation today hopkins almost totally forgotten shouldnt hopkins among first elucidate principles even influence video games designed public health campaigns managed explain people effortlessly exercise every morning others cant pass box doughnuts without automatically grabbing jellyfilled cruller,4,Y,81,131,50.87,50,100,0,14,7,3,3,7,1,2,1,2,0,0,0,6,4,0,0,0,0,1
hopkins start america brushing,5,N,7,11,64.37,4,8,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
taking advantage quirk neurology habits wouldnt almost century later medical schools psychology labs would fully understand habits exist function today create change habits almost like flipping switch,6,N,47,73,55.54,27,52,0,8,2,0,3,5,0,2,0,1,0,1,1,4,0,0,0,0,0,0
historical outliers seemed intuit accidentally stumble insights anyone else hopkins created toothbrushing habit identifying simple obvious cue delivering clear reward —most important —by creating neurological craving,7,N,42,81,24.78,26,63,0,7,7,1,0,2,1,4,0,0,0,0,0,2,1,1,0,0,0,1
craving turns powers habit,8,N,10,12,95.17,4,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
hopkins signed promote pepsodent realized needed find trigger daily use sat pile dental textbooks dry reading later wrote autobiography middle one book found reference mucin plaques teeth afterward called film,9,N,61,84,72.87,30,53,1,8,5,3,1,3,4,0,0,1,0,0,1,3,0,0,0,0,0,0
gave appealing idea resolved advertise toothpaste creator beauty,10,Y,17,25,71.31,8,16,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
soon cities plastered pepsodent adsjust run tongue across teeth read one youll feel film—thats makes teeth look color invites decay,11,N,29,36,95.47,20,27,1,5,2,0,2,5,1,0,0,1,0,0,1,1,1,0,0,0,0,0
