Participant,Probe,TUT,Disengage,Awareness,FMT
593890eac6aa16000101f037,1,1,2,2,4
593890eac6aa16000101f037,2,0,1,7,7
593890eac6aa16000101f037,3,0,1,7,7
593890eac6aa16000101f037,4,1,3,3,5
593890eac6aa16000101f037,5,1,2,7,5
593890eac6aa16000101f037,6,0,3,6,4
593890eac6aa16000101f037,7,0,2,6,6
596e1af7a09655000197d4bb,1,0,2,7,5
596e1af7a09655000197d4bb,2,0,2,7,5
596e1af7a09655000197d4bb,3,0,4,7,5
596e1af7a09655000197d4bb,4,0,3,6,5
596e1af7a09655000197d4bb,5,0,4,7,5
596e1af7a09655000197d4bb,6,0,1,6,5
596e1af7a09655000197d4bb,7,0,5,7,5
5af835d8e19f8c00019e6dc0,1,0,1,7,6
5af835d8e19f8c00019e6dc0,2,0,1,7,7
5af835d8e19f8c00019e6dc0,3,0,1,7,7
5af835d8e19f8c00019e6dc0,4,0,1,7,7
5af835d8e19f8c00019e6dc0,5,0,1,7,7
5af835d8e19f8c00019e6dc0,6,0,1,7,7
5af835d8e19f8c00019e6dc0,7,0,1,7,7
5b07b71c68eff50001d1c859,1,0,3,5,5
5b07b71c68eff50001d1c859,2,0,2,6,6
5b07b71c68eff50001d1c859,3,0,2,6,5
5b07b71c68eff50001d1c859,4,1,4,3,4
5b07b71c68eff50001d1c859,5,1,4,4,4
5b07b71c68eff50001d1c859,6,0,3,5,5
5b07b71c68eff50001d1c859,7,0,3,6,5
5bd7971b0aac450001f951aa,1,1,1,7,7
5bd7971b0aac450001f951aa,2,1,1,7,7
5bd7971b0aac450001f951aa,3,1,1,7,7
5bd7971b0aac450001f951aa,4,0,1,7,7
5bd7971b0aac450001f951aa,5,1,1,7,7
5bd7971b0aac450001f951aa,6,0,1,7,7
5bd7971b0aac450001f951aa,7,0,1,7,7
5c6477fe4f0ea90001782441,1,0,6,6,6
5c6477fe4f0ea90001782441,2,0,6,6,6
5c6477fe4f0ea90001782441,3,0,5,7,6
5c6477fe4f0ea90001782441,4,0,5,6,6
5c6477fe4f0ea90001782441,5,0,7,7,6
5c6477fe4f0ea90001782441,6,0,7,6,5
5c6477fe4f0ea90001782441,7,0,6,7,6
5cb568ebf0e31e0017d9bf32,1,0,1,6,6
5cb568ebf0e31e0017d9bf32,2,1,2,6,5
5cb568ebf0e31e0017d9bf32,3,0,2,5,6
5cb568ebf0e31e0017d9bf32,4,0,1,5,6
5cb568ebf0e31e0017d9bf32,5,0,3,5,5
5cb568ebf0e31e0017d9bf32,6,1,4,7,5
5cb568ebf0e31e0017d9bf32,7,0,2,5,6
5d4459c166881d001c4d5451,1,1,5,6,5
5d4459c166881d001c4d5451,2,1,5,7,3
5d4459c166881d001c4d5451,3,0,5,6,4
5d4459c166881d001c4d5451,4,1,7,6,6
5d4459c166881d001c4d5451,5,0,7,6,4
5d4459c166881d001c4d5451,6,1,5,6,5
5d4459c166881d001c4d5451,7,0,6,5,4
5d5497857aff650001a18c3c,1,1,3,5,3
5d5497857aff650001a18c3c,2,0,2,7,7
5d5497857aff650001a18c3c,3,0,1,7,4
5d5497857aff650001a18c3c,4,0,1,6,4
5d5497857aff650001a18c3c,5,0,5,7,4
5d5497857aff650001a18c3c,6,1,3,5,5
5d5497857aff650001a18c3c,7,0,2,7,3
5d79375d794d900017671c07,1,0,2,5,2
5d79375d794d900017671c07,2,0,1,5,2
5d79375d794d900017671c07,3,0,1,5,2
5d79375d794d900017671c07,4,0,1,5,2
5d79375d794d900017671c07,5,0,1,5,2
5d79375d794d900017671c07,6,1,1,6,2
5d79375d794d900017671c07,7,0,1,6,2
5dcc27974b54778b69e62ec5,1,1,4,3,4
5dcc27974b54778b69e62ec5,2,0,3,5,5
5dcc27974b54778b69e62ec5,3,0,2,3,4
5dcc27974b54778b69e62ec5,4,1,3,2,5
5dcc27974b54778b69e62ec5,5,0,3,5,4
5dcc27974b54778b69e62ec5,6,0,5,6,2
5dcc27974b54778b69e62ec5,7,1,4,6,5
5dce29700ad506063969a4a5,1,0,1,6,6
5dce29700ad506063969a4a5,2,0,1,6,7
5dce29700ad506063969a4a5,3,0,1,6,6
5dce29700ad506063969a4a5,4,0,2,5,5
5dce29700ad506063969a4a5,5,0,1,7,6
5dce29700ad506063969a4a5,6,0,1,6,6
5dce29700ad506063969a4a5,7,0,1,6,6
5df861926aab7c5f659dfd85,1,1,1,6,4
5df861926aab7c5f659dfd85,2,0,1,5,2
5df861926aab7c5f659dfd85,3,0,2,5,2
5df861926aab7c5f659dfd85,4,1,1,4,3
5df861926aab7c5f659dfd85,5,0,1,5,2
5df861926aab7c5f659dfd85,6,1,1,6,2
5df861926aab7c5f659dfd85,7,1,1,6,3
5e26341c63251a881e185ecf,1,1,1,6,4
5e26341c63251a881e185ecf,2,0,1,7,6
5e26341c63251a881e185ecf,3,0,1,7,6
5e26341c63251a881e185ecf,4,1,4,6,4
5e26341c63251a881e185ecf,5,0,2,7,6
5e26341c63251a881e185ecf,6,0,2,6,6
5e26341c63251a881e185ecf,7,0,2,7,6
5e3040a2d1a553000cc9147b,1,0,2,7,7
5e3040a2d1a553000cc9147b,2,0,1,7,6
5e3040a2d1a553000cc9147b,3,0,2,6,7
5e3040a2d1a553000cc9147b,4,0,2,7,7
5e3040a2d1a553000cc9147b,5,0,1,7,7
5e3040a2d1a553000cc9147b,6,0,1,7,7
5e3040a2d1a553000cc9147b,7,0,1,7,7
5e49fd714535c4462d04dcd7,1,0,2,5,3
5e49fd714535c4462d04dcd7,2,0,3,4,6
5e49fd714535c4462d04dcd7,3,1,4,7,6
5e49fd714535c4462d04dcd7,4,1,2,5,6
5e49fd714535c4462d04dcd7,5,1,2,6,7
5e49fd714535c4462d04dcd7,6,1,1,7,7
5e49fd714535c4462d04dcd7,7,0,2,7,6
5e7a5c9d7567f003b57b85e9,1,1,7,5,4
5e7a5c9d7567f003b57b85e9,2,1,6,5,6
5e7a5c9d7567f003b57b85e9,3,0,3,7,2
5e7a5c9d7567f003b57b85e9,4,1,7,7,6
5e7a5c9d7567f003b57b85e9,5,1,5,5,3
5e7a5c9d7567f003b57b85e9,6,1,4,7,4
5e7a5c9d7567f003b57b85e9,7,0,1,7,2
5e83bb0601aa8c11929fa6d4,1,0,3,6,2
5e83bb0601aa8c11929fa6d4,2,0,2,6,4
5e83bb0601aa8c11929fa6d4,3,0,2,6,3
5e83bb0601aa8c11929fa6d4,4,1,2,5,2
5e83bb0601aa8c11929fa6d4,5,0,3,6,2
5e83bb0601aa8c11929fa6d4,6,0,3,6,3
5e83bb0601aa8c11929fa6d4,7,0,2,6,3
5e9f70a9eec34b1108c84413,1,1,3,5,3
5e9f70a9eec34b1108c84413,2,0,2,3,3
5e9f70a9eec34b1108c84413,3,1,4,3,4
5e9f70a9eec34b1108c84413,4,0,3,3,3
5e9f70a9eec34b1108c84413,5,0,2,2,2
5e9f70a9eec34b1108c84413,6,1,3,3,4
5e9f70a9eec34b1108c84413,7,0,2,2,2
5edd1133213f7a077ee2709b,1,0,5,7,2
5edd1133213f7a077ee2709b,2,0,6,7,2
5edd1133213f7a077ee2709b,3,0,4,7,2
5edd1133213f7a077ee2709b,4,0,4,7,2
5edd1133213f7a077ee2709b,5,1,5,6,4
5edd1133213f7a077ee2709b,6,0,4,7,4
5edd1133213f7a077ee2709b,7,1,3,7,5
5eebc46343ee1b16159a1c8e,1,0,1,1,1
5eebc46343ee1b16159a1c8e,2,0,1,1,1
5eebc46343ee1b16159a1c8e,3,0,1,1,1
5eebc46343ee1b16159a1c8e,4,0,1,1,1
5eebc46343ee1b16159a1c8e,5,0,1,1,1
5eebc46343ee1b16159a1c8e,6,0,1,1,1
5eebc46343ee1b16159a1c8e,7,0,1,1,1
5f201aabcbe8bf04a0ae4a1f,1,1,1,1,1
5f201aabcbe8bf04a0ae4a1f,2,1,1,1,1
5f201aabcbe8bf04a0ae4a1f,3,1,1,1,1
5f201aabcbe8bf04a0ae4a1f,4,1,1,1,1
5f201aabcbe8bf04a0ae4a1f,5,1,1,1,1
5f201aabcbe8bf04a0ae4a1f,6,1,1,1,1
5f201aabcbe8bf04a0ae4a1f,7,1,1,1,1
5f29d9582a2fc9166092ebe5,1,1,2,6,3
5f29d9582a2fc9166092ebe5,2,0,5,6,2
5f29d9582a2fc9166092ebe5,3,1,4,6,3
5f29d9582a2fc9166092ebe5,4,1,3,4,4
5f29d9582a2fc9166092ebe5,5,1,2,5,3
5f29d9582a2fc9166092ebe5,6,1,3,4,4
5f29d9582a2fc9166092ebe5,7,0,2,2,2
5f42eec40c24ac531d4ca24a,1,1,5,5,2
5f42eec40c24ac531d4ca24a,2,0,1,3,3
