Participant,GazesMean,TextRTMean
593890eac6aa16000101f037,473.85,8.1501275
596e1af7a09655000197d4bb,261.375,8.258325
5af835d8e19f8c00019e6dc0,902.525,15.01376
5b07b71c68eff50001d1c859,195.6,8.98025
5bd7971b0aac450001f951aa,329.6,15.064745
5c6477fe4f0ea90001782441,493.5,10.256725
5cb568ebf0e31e0017d9bf32,399.75,11.5079625
5d4459c166881d001c4d5451,730.15,6.4754875
5d5497857aff650001a18c3c,636.775,13.268745
5d79375d794d900017671c07,605.625,11.6559975
5dcc27974b54778b69e62ec5,738.925,12.2830525
5dce29700ad506063969a4a5,1032.75,11.14664
5df861926aab7c5f659dfd85,564.825,15.60759
5e26341c63251a881e185ecf,642.55,10.842025
5e3040a2d1a553000cc9147b,741.15,12.33427
5e49fd714535c4462d04dcd7,250.1,6.2814425
5e7a5c9d7567f003b57b85e9,252.3,5.728
5e83bb0601aa8c11929fa6d4,548.225,9.5786125
5e9f70a9eec34b1108c84413,906.4,15.81609
5edd1133213f7a077ee2709b,781.175,12.982785
5eebc46343ee1b16159a1c8e,455.4,7.555605
5f29d9582a2fc9166092ebe5,510.225,11.8380275
5f42eec40c24ac531d4ca24a,679.575,11.5663125
5f49806859401418f7ec6764,1790.175,14.276135
6026d1eca0c0d1400dcfbbd6,178.975,13.737345
60493e65aba91587246602a2,300.925,9.97645
607dc33d82a84f39fad3a86b,368.625,8.9103475
60ad06d89fffbb9b853454be,314.35,10.1144575
60b7c559803665ec56ca8b2c,186.275,5.05483
60c2fa3c3cdfb91887edd7ce,908.15,15.1563375
60d3c657c0c29336f3a3c52d,667.6,11.56143
60dfa0f80964725cfdab1685,339.7,19.1734325
60dfdb8bbef17b6739d12215,813.325,9.9753775
60e36d56350e661cf50f2c7e,541.975,12.354395
60e498712f548b22f3ec7c65,270.025,8.43025
60f8adb9a315f316c3aee425,1211.675,20.1622825
60fcd0f990314dce9c243fef,428.225,7.5347425
60ff07f922e9fa09d90159a1,724.3,12.147915
61071ee0d98a6df6efb59716,536.6,9.12707
61088c529cff73b187d19e6d,264.1,7.614355
610c4e668fad041dbcf2079b,284.525,7.69294
6121aaee9d29f0c6e3bc8bea,299.7,17.223905
6138f7e0ad42e592ca5f2024,558.45,14.898965
6140e85de611a8d1aa7ebc12,1532.375,13.90878
6148f3d1074988c7852c1774,658.025,10.9322275
615a084387075364a7462335,329.8,9.9605175
622a4950fe920c5a243b8b8c,1130.075,21.6545025
62695a9549ef754a8767ab71,448.125,13.5078425
628e565e37a823270e7c996e,76.45,1.8379175
6294de1b341cd20e308d1a4a,207.375,11.264075
62a74daa695f792361470dd1,649.1,10.81131
62b7a7e776f241c59cf27ac9,2098.8,12.819005
62c8ce353a6e2dd3977a4fef,541.975,17.3697825
62cd8af88ff531583cbd24a9,909.575,15.76982
62e0010a466c578a0123e186,83.675,1.37072
62e097c92160176b0b9c2619,156.2,6.724645
632100c39d4c93aa71d32feb,510.675,8.7076375
6321da5de806efad3e53163f,321.825,8.4864675
559cb12dfdf99b4989fb18ed,189.625,9.6795075
559e6830fdf99b4f0b98514a,467.075,10.8004625
55a47692fdf99b126e625257,212.875,10.02275
561bbdf9811d22000df3138a,737.525,12.318265
56210effed6e5a000ac7f3a5,961.75,8.0389
565bff58c121fe0005fc390d,434.025,16.0437575
5680253fc5767f00121cc5e2,339.55,9.3317725
5685850c333cbd000d4e042f,985.3,16.4117875
569298838d93fe000dfa033c,776.55,13.181145
5692e00c8d93fe000efa0459,459.775,7.7438275
5694e7b5e0c800000b5a3841,243.825,9.40616
56bd7bf3d4e2180005a86846,804.8,18.6039325
56cc78e3ccc0e20006b82a7d,288.525,5.3669775
56e130548b1c33000a388671,278.25,5.791725
56fa002e8425ef000b3a4276,329.075,8.383495
570521cfde5095001018a0c8,439.575,15.136805
5732a7595bb657000f727f02,1330.275,11.085265
57864d24900cc80001d2de56,482.95,8.7291875
58380cb9f1faf8000129673a,291.075,13.40677
588021688e1ad5000142dfdf,662.45,11.0066075
58935d5d4d77be0001689f14,716.75,9.3766425
58d2cb10f5899100018a05b8,495.85,16.9393575
58d7896b4240e5000118f705,494.375,12.6869025
58e79ac632bebb0001b741ec,354.3,8.56111
592bb32c943e670001cde123,834.825,14.50917
598ba20f716a2c000187ce01,1087.525,18.250465
5993020a5f49420001caf86b,546.55,9.37195
5999a1096b939900012da1c7,159.425,10.3861
59f226a9d6380600018b2923,888.15,14.8670025
5a08c9a7f2e3460001edb063,464.975,9.5916125
5a4444fc56ec1100014a29e1,340.75,7.9506975
5a57cb50acc75b00017a2b01,114.3,8.649545
5a69794e31b87a0001c76690,338.075,9.378435
5a78b8355292b800012284ca,557.525,9.25985
